"","subID","memory","degree","outdegree","indegree","outdegree_scaled","indegree_scaled","high_outdegree","low_outdegree","high_indegree","low_indegree","outdegree_mem","indegree_mem","degree_scaled","high_degree","low_degree"
"72","80","crying before symposium at practice session",1,0,1,-0.846160205304626,-0.464099659838529,0,1,1,0,0,1,-0.98567323395633,0,1
"73","48","discovery science center bubble show cousins",2,1,1,-0.41488804569902,-0.464099659838529,1,0,1,0,1,0,-0.560046570182916,0,1
"74","48","linda crafts hidden from grandma",1,0,1,-0.846160205304626,-0.464099659838529,0,1,1,0,0,1,-0.913760193456337,0,1
"75","48","mom payless forgetting shoes for school",10,9,1,3.03528923114583,-0.464099659838529,1,0,1,0,1,0,2.26966241600445,1,0
"76","48","twins jungle gym third grade",1,0,1,-0.846160205304626,-0.464099659838529,0,1,1,0,0,1,-0.913760193456337,0,1
"77","48","twins shared journal entries",2,2,0,0.0163841139065855,-0.946526822167497,1,0,0,1,1,0,-0.560046570182916,0,1
"78","48","twins career day slushee face paint",0,0,0,-0.846160205304626,-0.946526822167497,0,1,0,1,1,0,-1.26747381672976,0,1
"79","48","free lunch park grandmas house",3,2,1,0.0163841139065855,-0.464099659838529,1,0,1,0,1,0,-0.206332946909495,0,0
"80","48","early day kindergarten baby sister born",2,1,1,-0.41488804569902,-0.464099659838529,1,0,1,0,1,0,-0.560046570182916,0,1
"81","48","gold rush day square dancing",6,4,2,0.878928433117797,0.0183275024904388,1,0,1,0,1,0,0.854807922910766,1,0
"82","48","family san francisco trip",2,0,2,-0.846160205304626,0.0183275024904388,0,1,1,0,0,1,-0.560046570182916,0,1
"83","48","family san diego trip",0,0,0,-0.846160205304626,-0.946526822167497,0,1,0,1,1,0,-1.26747381672976,0,1
"84","48","friends san diego trip",6,3,3,0.447656273512191,0.500754664819407,1,0,1,0,0,1,0.854807922910766,1,0
"85","48","jordan met up sierra bella park",3,0,3,-0.846160205304626,0.500754664819407,0,1,1,0,0,1,-0.206332946909495,0,0
"86","48","freshmen link crew orientation",8,1,7,-0.41488804569902,2.43046331413528,1,0,1,0,0,1,1.56223516945761,1,0
"87","48","covid pandemic shut down day",2,1,1,-0.41488804569902,-0.464099659838529,1,0,1,0,1,0,-0.560046570182916,0,1
"88","48","failed first drivers test blonde lady",2,1,1,-0.41488804569902,-0.464099659838529,1,0,1,0,1,0,-0.560046570182916,0,1
"89","48","wisdom teeth and braces week",0,0,0,-0.846160205304626,-0.946526822167497,0,1,0,1,1,0,-1.26747381672976,0,1
"90","48","quince court beach video",3,1,2,-0.41488804569902,0.0183275024904388,1,0,1,0,0,1,-0.206332946909495,0,0
"91","48","day of my quince",8,6,2,1.74147275232901,0.0183275024904388,1,0,1,0,1,0,1.56223516945761,1,0
"92","48","highschool graduation",7,2,5,0.0163841139065855,1.46560898947734,1,0,1,0,0,1,1.20852154618419,1,0
"93","48","senior year homecoming queen",6,2,4,0.0163841139065855,0.983181827148375,1,0,1,0,0,1,0.854807922910766,1,0
"94","48","senior year prom",3,2,1,0.0163841139065855,-0.464099659838529,1,0,1,0,1,0,-0.206332946909495,0,0
"95","48","link crew disneyland trip",3,1,2,-0.41488804569902,0.0183275024904388,1,0,1,0,0,1,-0.206332946909495,0,0
