"","subID","degree","outdegree","indegree","degree_scaled","outdegree_scaled","indegree_scaled"
"1","2",2,2,0,-0.581038567823706,0.0117705818588364,-0.955523465203832
"2","2",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"3","2",6,4,2,0.614240771699346,0.85925247569506,0.0134580769747018
"4","2",3,0,3,-0.282218732942943,-0.835711311977387,0.497948848063969
"5","2",4,3,1,0.0166011019378201,0.435511528776948,-0.471032694114565
"6","2",6,5,1,0.614240771699346,1.28299342261317,-0.471032694114565
"7","2",3,2,1,-0.282218732942943,0.0117705818588364,-0.471032694114565
"8","2",6,4,2,0.614240771699346,0.85925247569506,0.0134580769747018
"9","2",2,0,2,-0.581038567823706,-0.835711311977387,0.0134580769747018
"10","2",4,0,4,0.0166011019378201,-0.835711311977387,0.982439619153236
"11","2",12,10,2,2.40715978098392,3.40169815720373,0.0134580769747018
"12","2",6,4,2,0.614240771699346,0.85925247569506,0.0134580769747018
"13","2",3,0,3,-0.282218732942943,-0.835711311977387,0.497948848063969
"14","2",5,4,1,0.315420936818583,0.85925247569506,-0.471032694114565
"15","2",6,2,4,0.614240771699346,0.0117705818588364,0.982439619153236
"16","2",7,3,4,0.913060606580109,0.435511528776948,0.982439619153236
"17","2",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"18","2",7,2,5,0.913060606580109,0.0117705818588364,1.4669303902425
"19","2",5,4,1,0.315420936818583,0.85925247569506,-0.471032694114565
"20","2",4,1,3,0.0166011019378201,-0.411970365059275,0.497948848063969
"21","2",3,0,3,-0.282218732942943,-0.835711311977387,0.497948848063969
"22","2",8,1,7,1.21188044146087,-0.411970365059275,2.43591193242104
"23","2",5,2,3,0.315420936818583,0.0117705818588364,0.497948848063969
"24","2",6,4,2,0.614240771699346,0.85925247569506,0.0134580769747018
"25","4",7,3,4,0.913060606580109,0.435511528776948,0.982439619153236
"26","4",4,3,1,0.0166011019378201,0.435511528776948,-0.471032694114565
"27","4",9,6,3,1.51070027634163,1.70673436953128,0.497948848063969
"28","4",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"29","4",7,4,3,0.913060606580109,0.85925247569506,0.497948848063969
"30","4",4,3,1,0.0166011019378201,0.435511528776948,-0.471032694114565
"31","4",3,1,2,-0.282218732942943,-0.411970365059275,0.0134580769747018
"32","4",3,0,3,-0.282218732942943,-0.835711311977387,0.497948848063969
"33","4",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"34","4",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"35","4",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"36","4",3,2,1,-0.282218732942943,0.0117705818588364,-0.471032694114565
"37","4",3,1,2,-0.282218732942943,-0.411970365059275,0.0134580769747018
"38","4",2,0,2,-0.581038567823706,-0.835711311977387,0.0134580769747018
"39","4",3,2,1,-0.282218732942943,0.0117705818588364,-0.471032694114565
"40","4",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"41","4",4,2,2,0.0166011019378201,0.0117705818588364,0.0134580769747018
"42","4",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"43","4",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"44","4",0,0,0,-1.17867823758523,-0.835711311977387,-0.955523465203832
"45","4",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"46","4",4,2,2,0.0166011019378201,0.0117705818588364,0.0134580769747018
"47","4",6,4,2,0.614240771699346,0.85925247569506,0.0134580769747018
"48","4",12,5,7,2.40715978098392,1.28299342261317,2.43591193242104
"49","5",5,5,0,0.315420936818583,1.28299342261317,-0.955523465203832
"50","5",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"51","5",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"52","5",7,6,1,0.913060606580109,1.70673436953128,-0.471032694114565
"53","5",9,8,1,1.51070027634163,2.55421626336751,-0.471032694114565
"54","5",3,1,2,-0.282218732942943,-0.411970365059275,0.0134580769747018
"55","5",5,3,2,0.315420936818583,0.435511528776948,0.0134580769747018
"56","5",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"57","5",11,9,2,2.10833994610316,2.97795721028562,0.0134580769747018
"58","5",5,4,1,0.315420936818583,0.85925247569506,-0.471032694114565
"59","5",7,4,3,0.913060606580109,0.85925247569506,0.497948848063969
"60","5",6,3,3,0.614240771699346,0.435511528776948,0.497948848063969
"61","5",5,2,3,0.315420936818583,0.0117705818588364,0.497948848063969
"62","5",8,1,7,1.21188044146087,-0.411970365059275,2.43591193242104
"63","5",7,3,4,0.913060606580109,0.435511528776948,0.982439619153236
"64","5",3,0,3,-0.282218732942943,-0.835711311977387,0.497948848063969
"65","5",6,2,4,0.614240771699346,0.0117705818588364,0.982439619153236
"66","5",8,0,8,1.21188044146087,-0.835711311977387,2.9204027035103
"67","5",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"68","5",3,2,1,-0.282218732942943,0.0117705818588364,-0.471032694114565
"69","5",0,0,0,-1.17867823758523,-0.835711311977387,-0.955523465203832
"70","5",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"71","5",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"72","5",2,0,2,-0.581038567823706,-0.835711311977387,0.0134580769747018
"73","7",1,0,1,-0.879858402704469,-0.835711311977387,-0.471032694114565
"74","7",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
