"","subID","edgeTot","dense","aveDist","idTrans","globEff","numID","meanStre","sumStre","idSimGlob","recip","diam","apl","aplW","modular","modularW","compact","compactW","cohes","cohesW","centrDeg","centrBet","centrClo","centEig","centrDegW","centrBetW","centrCloW","centrEigW","sdDeg","sdBet","sdClo","sdEig","sdDegW","sdBetW","sdCloW","sdEigW","importance_Homoph","clear_Homoph","easy_Homoph","agency_Homoph","transformativeness_Homoph","change_Homoph","recency_12_Homoph","recency_13_Homoph","recency_14_Homoph","recency_sum_Homoph"
"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subShort",2,58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"subShort.1",4,44,0.0797101449275362,2.85551330798479,0.3125,0.315398550724638,24,314.083333333333,7538,0.123699167177428,0.545454545454545,692,2.85551330798479,246.015209125475,0.556818181818182,0.553719008264463,0.315398550724638,0.00406358495045688,0,0,0.189035916824197,0.238528956865441,NA,0.769207928153462,0.189035916824197,0.238528956865441,NA,0.769207928153461,2.7610122067454,36.2499708478977,NA,0.279738656181183,2.7610122067454,36.4199539192221,NA,0.277546298479139,0.0141037769960928,0.0242377507466278,0.0299745324665197,0.239385728622276,-0.163082415262692,-0.138115648855644,NA,NA,NA,-0.119466297491323
"subShort.2",5,30,0.0543478260869565,3.11111111111111,0.382978723404255,0.176630434782609,24,121.666666666667,2920,0.0586553945249598,0.333333333333333,306,3.11111111111111,119.455555555556,0.676666666666667,0.676666666666667,0.176630434782608,0.00768510290231269,0,0,0.056710775047259,0.0579137308815948,NA,0.852381301211748,0.056710775047259,0.0579137308815948,NA,0.852381301211748,1.4142135623731,12.4093816777142,NA,0.35666324428705,1.4142135623731,13.114877048604,NA,0.32477540315667,0.190265642243353,0.262225239994143,0.102452180299041,0.25723699301464,NA,-0.0828323891380614,NA,NA,NA,0.271949279133558
"subShort.3",8,24,0.0434782608695652,1.85106382978723,0.461538461538462,0.12493961352657,24,110.833333333333,2660,0.0376811594202898,0.260869565217391,220,1.85106382978723,85.6818181818182,0.736111111111111,0.737240075614367,0.12493961352657,0.00326248027334984,0,0,0.0453686200378072,0.0171850833476542,NA,0.929020326690508,0.0472589792060491,0.017442859597869,NA,0.929020326690508,1.10335456873474,2.7610122067454,NA,0.342033316369921,1.13890361720181,2.6699481621196,NA,0.319238916635037,-0.0044301162262782,-0.147763531141395,0.108912670547998,0.0719837437205313,NA,0.682247288358962,NA,NA,NA,0.0252311532037806
"subShort.4",17,36,0.0652173913043478,1.45614035087719,0.424242424242424,0.342736369910283,24,147.25,3534,0.101915415502372,0.222222222222222,271,1.45614035087719,73.5614035087719,0.435956790123457,0.445216049382716,0.342736369910283,0.0117399239693265,0,0,0.113421550094518,0.0108266025090222,NA,0.837187354904315,0.113421550094518,0.0108266025090222,NA,0.837187354904315,2.57073834766861,1.93929615201428,NA,0.343547187665321,2.57073834766861,1.93180849412436,NA,0.327454847583825,0.411858740592159,0.172073121375392,1.27431244054094e-13,0.121720149093797,0.182140482983589,-0.0703835070499678,NA,NA,NA,-0.0389378651475419
"subShort.5",19,37,0.0670289855072464,1.56521739130435,0.42,0.38197895100069,24,141.666666666667,3400,0.138678953896345,0,175,1.56521739130435,66.6666666666667,0.420745069393718,0.372534696859021,0.38197895100069,0.0140299532476377,0,0,0.13421550094518,0.023457638769548,NA,0.76213981101857,0.13421550094518,0.023457638769548,NA,0.76213981101857,2.51805077592667,3.25125393870012,NA,0.301063323491098,2.51805077592667,3.48495732201011,NA,0.300349742493643,0.0744331447705855,1,9.72852981714887e-07,0.0773476937282175,0.083097953472527,0.166724275432685,NA,NA,NA,-0.00938791272205059
"subShort.6",48,43,0.0778985507246377,2.488,0.555,0.358475672877847,24,213.833333333333,5132,0.131055824917717,0.0465116279069767,249,2.488,103.112,0.246078961600865,0.289886425094646,0.358475672877847,0.0116132124767948,0,0,0.145557655954631,0.0706306925588589,NA,0.695142453367576,0.145557655954631,0.0706306925588589,NA,0.695142453367576,2.82714584398973,11.6640699353767,NA,0.384915928250659,2.82714584398973,12.4934765586581,NA,0.386854892111605,-0.0250579653876341,-0.136165156929522,-0.063093074691928,NA,-0.0915941277553616,-0.0965106292401581,NA,NA,NA,-0.120624100013862
"subShort.7",50,48,0.0869565217391304,1.91304347826087,0.348066298342541,0.488526570048309,24,339.083333333333,8138,0.156131770805684,0.0833333333333333,432,1.91304347826087,160.426086956522,0.427951388888889,0.390625,0.488526570048309,0.00596107131983954,0,0,0.113421550094518,0.037377556281148,NA,0.65916532547079,0.113421550094518,0.037377556281148,NA,0.65916532547079,2.20670913746948,7.21298647669906,NA,0.300466932160199,2.20670913746948,7.31176835804712,NA,0.295040581340227,-0.0357898406393559,NA,-0.0212765957446018,0.0154287761628505,NA,0.349236448227791,NA,NA,NA,0.148762259428498
"subShort.8",22,47,0.0851449275362319,2.1830985915493,0.348066298342541,0.472705314009662,24,180.666666666667,4336,0.144475920498938,0.0434782608695652,251,2.1830985915493,90.7851851851852,0.443186962426437,0.417769376181474,0.472705314009662,0.0149489938648318,0,0,0.160680529300567,0.11699604743083,NA,0.74150074284412,0.139886578449905,0.105224265337687,NA,0.732170568099043,2.06243137786589,13.900062558508,NA,0.250579449644481,1.92617364937231,12.4315517237741,NA,0.284281221527964,-0.146448403770513,-0.0519743589868769,0.239138751869019,0.587922442025491,-0.0383252248092948,-0.147159842652717,NA,NA,NA,0.665184154114306
"subShort.9",23,26,0.0471014492753623,1.33333333333333,0.130434782608696,0.351751207729469,24,135.666666666667,3256,0.159101710428437,0.08,160,1.33333333333333,81.8421052631579,0.482248520710059,0.4768,0.351751207729468,0.00611901605446015,0,0,0.200378071833648,0.0112562295927135,NA,0.763004112066286,0.20226843100189,0.0112562295927135,NA,0.76548992284861,2.47889643515656,1.62130292925344,NA,0.276102459251439,2.51805077592667,1.82921144014398,NA,0.293173268312037,-0.162875758293353,-0.176069387937901,-0.286789759254196,0.290757627990471,-0.336572953296878,-0.155413373588916,NA,NA,NA,-0.297841180898266
"subShort.10",24,54,0.0978260869565217,2.24038461538462,0.35593220338983,0.333574879227053,24,311.75,7482,0.159563411522794,0.415094339622642,414,2.24038461538462,159.115384615385,0.406035665294925,0.425062299750801,0.333574879227053,0.00966511323542765,0,0,0.192816635160681,0.114968207595807,NA,0.780293812877072,0.194706994328922,0.114882282179069,NA,0.780293812877072,3.27042079462461,18.586460710397,NA,0.315230601002036,3.26931274079147,18.3799966094208,NA,0.31187321101501,-0.180784248363067,0.0681128884922991,0.0111545746900102,-0.119133802037859,-0.36290202011891,-0.335724359156901,NA,NA,NA,-0.193185616619188
"subShort.11",26,61,0.110507246376812,1.75213675213675,0.504587155963303,0.432185990338164,24,348.75,8370,0.212846206934409,0.133333333333333,420,1.75213675213675,137.452991452991,0.435635581832841,0.4375,0.432185990338164,0.056708422759794,0,0,0.224952741020794,0.0481182333734319,NA,0.69783008165621,0.204158790170132,0.0480323079566936,NA,0.683543062380844,3.25598668230727,6.78820374951485,NA,0.27638471168525,3.12075799042198,6.69833961688928,NA,0.316751678180944,0.0320942620925788,0.214899553703207,-0.0366544807001377,-0.147985099060425,0.355070076866657,0.374092242325056,0.00349367889512606,NA,NA,0.00349367889512268
"subShort.12",34,34,0.0615942028985507,2.23853211009174,0.35,0.219987922705314,24,220.833333333333,5300,0.0761397620093272,0.5,355,2.23853211009174,162.463157894737,0.583044982698962,0.544921875,0.219987922705314,0.00333267720507652,0,0,0.139886578449905,0.101821618834851,NA,0.824448110387414,0.0982986767485822,0.0812854442344045,NA,0.868183786557525,2.42570772580179,12.2432323808067,NA,0.337677369404157,2.20013174836075,9.82860362795053,NA,0.339588926356708,-0.20951312035165,0.187575236519462,0,0.155138072995969,-0.0935214636138805,-0.0344665800237597,0.0743976631614132,NA,NA,0.0486597675966529
"subShort.13",33,37,0.0670289855072464,1.15909090909091,0.383333333333333,0.302234299516908,24,237.25,5694,0.156557283589017,0,183,1.15909090909091,88.6590909090909,0.253469685902118,0.23009495982469,0.302234299516909,0.00503952360818193,0,0,0.224952741020794,0.00393538408661282,NA,0.756325612345311,0.224952741020794,0.00393538408661282,NA,0.756325612345311,2.9915339480472,0.637874641266616,NA,0.282826039267686,2.9915339480472,0.624093545570845,NA,0.268590580253533,-0.32273212396646,-0.105131826725478,-0.157612590229686,0.0725032349791408,-0.16724760358665,-0.216413664018297,0.18719186886941,NA,NA,0.184622848286846
"subShort.14",31,29,0.052536231884058,4.35,0.226415094339623,0.322248624966016,24,93.1666666666667,2236,0.0660714285714286,0,138,4.35,63.9117647058824,0.600475624256837,0.74102079395085,0.322248624966016,0.00459421737340157,0,0,0.0359168241965974,0.121412613851177,NA,0.829938340626065,0.0472589792060491,0.00919401959099502,NA,0.855803393328897,1.24818709114169,32.1843365900111,NA,0.335170402091597,1.10006587418037,1.31807391317016,NA,0.326732209575177,-0.0140559556896171,-0.149906337798926,-0.0866093069950197,-0.229135887973191,-0.0562529205577575,-0.16212012769521,NA,NA,NA,-0.0139022540065121
"subShort.15",46,86,0.155797101449275,2.09508196721311,0.49171270718232,0.606582125603865,24,327.666666666667,7864,0.286332278571615,0.186046511627907,361,2.09508196721311,82.455737704918,0.334775554353705,0.34586262844781,0.606582125603865,0.0274745264808983,0,0,0.200378071833648,0.130262931775219,NA,0.596039667250866,0.200378071833648,0.130262931775219,NA,0.596039667250865,3.64353706154344,18.6797314528276,NA,0.254194460294481,3.64353706154344,24.5142667718682,NA,0.247870501784664,-0.0100278529163597,0.0132479723263946,-0.0259146955419526,-0.135445686551853,0.151731938473719,-0.051362045074445,NA,NA,NA,-0.0155334354253451
