"","X.x","subID","memory","memCode","degree","outdegree","indegree","strength","strengthOut","strengthIn","eigen","eigenW","hub","hubW","page","pageW","pageOut","pageOutW","auth","authW","UD.C.Deg","UD.M.Deg","UD.C.Streng","UD.M.Streng","importance","clear","easy","agency","transformativeness","change","recency_12","recency_13","recency_14","recency_sum","importance_neighs","clear_neighs","easy_neighs","agency_neighs","transformativeness_neighs","change_neighs","recency_12_neighs","recency_13_neighs","recency_14_neighs","recency_sum_neighs","X.y","edgeTot","dense","aveDist","idTrans","globEff","numID","meanStre","sumStre","idSimGlob","recip","diam","apl","aplW","modular","modularW","compact","compactW","cohes","cohesW","centrDeg","centrBet","centrClo","centEig","centrDegW","centrBetW","centrCloW","centrEigW","sdDeg","sdBet","sdClo","sdEig","sdDegW","sdBetW","sdCloW","sdEigW","importance_Homoph","clear_Homoph","easy_Homoph","agency_Homoph","transformativeness_Homoph","change_Homoph","recency_12_Homoph","recency_13_Homoph","recency_14_Homoph","recency_sum_Homoph"
"1","mem1","2","Purple slippers trunk parking lot",1,2,2,0,17,17,0,0.202516038863439,0.0190235560589372,1.84936720394368e-17,2.86400570073022e-17,0.0176280405867723,0.0170719189050356,0.16569510904844,0.16569510904844,0,0,2,0,17,0,7,7,7,NA,83,7,13,1,2,4780.69,5.5,6,6,NA,57.5,6,9,2,10.5,3358.63,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"2","mem2","2","Mcdonalds playground stuck crying",2,2,1,1,22,10,12,0.202516038863439,0.0354704218883569,2.16199244973133e-17,3.43269594032694e-17,0.0251199578361505,0.0273150702480569,0.0895649238099676,0.0895649238099676,5.25521838023889e-18,2.61841767749008e-18,2,0,22,0,5,6,5,NA,59,6,12,1,14,4427.44,6.5,6.5,7,NA,69.5,6.5,9.5,2,4.5,3535.255,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"3","mem3","2","Spongebob project elementary school",3,6,4,2,186,71,115,0.688659288458677,0.47279748377187,0.5410236184059,0.135056832954219,0.0252464401291131,0.0297827006863089,0.0483036255699185,0.0483036255699185,0.419591126691848,0.439062527802518,6,0,186,0,5,7,5,NA,75,6,12,3,12,4486.32,6.16666666666667,6.33333333333333,6.5,NA,56,6,3.16666666666667,3.66666666666667,5.83333333333333,1274.07166666667,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"4","mem4","2","grandma dentures brushing nature",4,3,0,3,130,0,130,0.259941054735418,0.223123930551553,4.97325222435945e-17,5.4036321202225e-17,0.103035222920639,0.0860906505967799,0.0121183684454656,0.0121183684454656,0.128114025503266,0.15037203895956,3,0,130,0,6,7,7,NA,83,7,17,3,1,6301.57,6,6,5.66666666666667,NA,49.3333333333333,6,3.66666666666667,4.66666666666667,5.66666666666667,1486.97,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"5","mem5","2","dad cigarettes smoking hug dog horse",5,4,3,1,206,146,60,0.405310014597505,0.358484865426926,0.475517621686281,0.391325749986131,0.02221339830253,0.0228325710123797,0.0210271743897801,0.0210271743897801,0.113732146302868,0.128372852651032,4,0,206,0,5,5,6,NA,68,5,14,2,1,5175.38,6,6,6.25,NA,33.75,5.25,2.25,3.25,1.25,921.9925,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"6","mem6","2","mom yelling orchestra chair broke",6,6,5,1,241,181,60,0.619669857541809,0.601612447813449,0.47658577174943,0.365220279852208,0.0215781539565069,0.0236587105730045,0.0720802208698458,0.0720802208698458,0.284163056911164,0.309838278214665,6,0,241,0,7,7,7,NA,93,7,6,3,21,2303.82,5.16666666666667,6.83333333333333,6.5,NA,52.6666666666667,5.83333333333333,4.33333333333333,2,3.83333333333333,1647.46333333333,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"7","mem7","2","pizza classroom tiny piece",7,3,2,1,45,25,20,0.198354411253876,0.0701182001413315,0.0915352619132771,0.00976771583030069,0.0232935445852204,0.0188559763170208,0.0220287296604117,0.0220287296604117,0.0251490190157684,0.0516545016063192,3,0,45,0,5,6,5,NA,33,5,12,2,21,4464.88,5.66666666666667,7,6.33333333333333,NA,42.3333333333333,5.66666666666667,7,2.33333333333333,5,2632.77666666667,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"8","mem8","2","sprain finger basketball scary",8,6,4,2,305,190,115,0.414747955747952,0.480555874971501,0.301935423758349,0.308294824714282,0.0537625905965057,0.0612808671677883,0.0260098898294448,0.0260098898294448,0.028519645108712,0.226211555541337,6,0,305,0,5,7,5,NA,62,6,7,2,1,2618.63,5.5,6.5,6.66666666666667,NA,51.1666666666667,5.83333333333333,5.16666666666667,3.66666666666667,5.83333333333333,2004.57166666667,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"9","mem9","2","arm broke park Rebecca",9,2,0,2,140,0,140,0.264852847896994,0.541445125699546,3.71098614314088e-17,4.59469998278313e-17,0.0261635116722646,0.0295601578292256,0.0121183684454656,0.0121183684454656,0.434412703396661,0.931612286849554,2,0,140,0,7,7,7,NA,75,6,7,4,25,2703.51,5.5,6.5,6,NA,33,5.5,6,3,6.5,1147.91,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
"10","mem10","2","glasses broke crying basketball",10,4,0,4,125,0,125,0.239270676516983,0.221530727220406,7.42197228628177e-17,9.18939996556626e-17,0.0744911457826664,0.0803703722284308,0.0121183684454656,0.0121183684454656,0.102217103556561,0.0570841370469429,4,0,125,0,5,7,5,NA,31,5,12,4,1,4505.76,4.75,6.5,6.25,NA,31,5.25,5,1.5,9.75,1881.66,"subShort",58,0.105072463768116,2.05208333333333,0.301038062283737,0.551328502415459,24,185.083333333333,4442,0.200479068207733,0,195,2.05208333333333,64.9270833333333,0.328180737217598,0.338287752675387,0.551328502415459,0.0273331107286526,0,0,0.162570888468809,0.0692558858910466,NA,0.619897102230845,0.162570888468809,0.0692558858910466,NA,0.619897102230845,2.40771706171538,11.4512493253405,NA,0.22903726560877,2.40771706171538,12.9790801576664,NA,0.276110391367527,-0.200351456640581,-0.0232755727841617,-0.162930380145039,NA,0.123460303737376,0.112802297462789,NA,NA,-0.108821256890223,-0.0987247561964816
